name,type,id,arg0,arg1,retval0,retval1
elvm_ext_24_to_64,usr,0,s0_24,,s0_64,
elvm_trim_64_to_24,usr,1,s0_64,,s0_24,
elvm_open_register,usr,2,s0_8,s0_24n,s1_24n,
elvm_close_register,usr,3,s0_8,s1_24n,s0_24n,
elvm_read_register,usr,4,s0_8,,s0_24,
elvm_write_register,usr,5,s0_8,s0_24,,
elvm_access_memory,usr,6,s0_24,s1_8n,s2_8n,
elvm_convert_to_actual_address,usr,7,s0_24,,s0_24,
elvm_pop24s0,usr,8,s0_24,,r0_24,
elvm_pop24s1,usr,9,s1_24,,r1_24,
elvm_pop24s2,usr,10,s2_24,,r2_24,
elvm_push24r2tos0,usr,11,r2_24,,s0_24,
elvm_push24s1,usr,12,r1_24,,s1_24,
elvm_push24s2,usr,13,r2_24,,s2_24,
elvm_dup24s0,usr,14,s0_24,,s0_24,s0_24
elvm_read_stdin,usr,15,,,s0_24,
elvm_ext_8_to_24,usr,16,s0_8,,s0_24,
elvm_trim_24_to_8,usr,17,s0_24,,s0_8,
